N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
22080,81,16,64,1,42,256,FP32,0.9956791400909424,454.5277404785156
22080,81,16,64,1,42,256,FP32,0.9286057949066162,454.5277404785156
22080,81,16,64,1,42,256,FP32,0.9294369220733643,454.5277404785156
22080,81,16,64,1,42,256,FP64,1.6780879497528076,447.48150719527035
22080,81,16,64,1,42,256,FP64,1.7458651065826416,447.48150719527035
22080,81,16,64,1,42,256,FP64,1.7056772708892822,447.48150719527035
22080,81,16,64,1,42,256,FP64,1.7325050830841064,447.48150719527035
22080,81,16,64,1,42,256,FP64,1.7254350185394287,447.48150719527035
22080,81,16,64,2,42,256,FP32,1.830674648284912,343.8880310058594
22080,81,16,64,2,42,256,FP32,1.881852626800537,343.8880310058594
22080,81,16,64,2,42,256,FP32,1.8953509330749512,343.8880310058594
22080,81,16,64,2,42,256,FP32,1.842496633529663,343.8880310058594
22080,81,16,64,2,42,256,FP32,1.840878963470459,343.8880310058594
22080,81,16,64,2,42,256,FP64,3.3737056255340576,344.9422105089861
22080,81,16,64,2,42,256,FP64,3.417147159576416,344.9422105089861
22080,81,16,64,2,42,256,FP64,4.002648591995239,344.9422105089861
22080,81,16,64,2,42,256,FP64,4.373906373977661,344.9422105089861
22080,81,16,64,2,42,256,FP64,3.7592685222625732,344.9422105089861
22080,81,16,64,4,42,256,FP32,3.9423370361328125,299.5550231933594
22080,81,16,64,4,42,256,FP32,4.009979248046875,299.5550231933594
22080,81,16,64,4,42,256,FP32,4.136197566986084,299.5550231933594
22080,81,16,64,4,42,256,FP32,4.074074745178223,299.5550231933594
22080,81,16,64,4,42,256,FP32,4.004836797714233,299.5550231933594
22080,81,16,64,4,42,256,FP64,8.196706056594849,299.2211339933007
22080,81,16,64,4,42,256,FP64,7.80503511428833,299.2211339933007
22080,81,16,64,4,42,256,FP64,7.8983893394470215,299.2211339933007
22080,81,16,64,4,42,256,FP64,6.642224311828613,299.2211339933007
22080,81,16,64,4,42,256,FP64,6.652527809143066,299.2211339933007
22080,81,16,128,1,42,256,FP32,0.9494836330413818,454.5277404785156
22080,81,16,128,1,42,256,FP32,0.9342968463897705,454.5277404785156
22080,81,16,128,1,42,256,FP32,0.931957483291626,454.5277404785156
22080,81,16,128,1,42,256,FP32,0.996567964553833,454.5277404785156
22080,81,16,128,1,42,256,FP32,1.0855498313903809,454.5277404785156
22080,81,16,128,1,42,256,FP64,2.0782487392425537,447.48150719527035
22080,81,16,128,1,42,256,FP64,2.0461301803588867,447.48150719527035
22080,81,16,128,1,42,256,FP64,1.8757896423339844,447.48150719527035
22080,81,16,128,1,42,256,FP64,1.7185759544372559,447.48150719527035
22080,81,16,128,1,42,256,FP64,1.9366004467010498,447.48150719527035
22080,81,16,128,2,42,256,FP32,1.9552459716796875,343.8880310058594
22080,81,16,128,2,42,256,FP32,1.8789618015289307,343.8880310058594
22080,81,16,128,2,42,256,FP32,1.8770527839660645,343.8880310058594
22080,81,16,128,2,42,256,FP32,1.8387336730957031,343.8880310058594
22080,81,16,128,2,42,256,FP32,1.98634934425354,343.8880310058594
22080,81,16,128,2,42,256,FP64,3.509401559829712,344.9422105089861
